country_code,year,indicator,value
ARG,2014,hdi,0.855
ARG,2015,hdi,0.859
ARG,2016,hdi,0.857
ARG,2017,hdi,0.861
ARG,2018,hdi,0.861
ARG,2019,hdi,0.861
ARG,2020,hdi,0.851
ARG,2021,hdi,0.847
ARG,2022,hdi,0.858
ARG,2023,hdi,0.865
AUS,2014,hdi,0.937
AUS,2015,hdi,0.938
AUS,2016,hdi,0.939
AUS,2017,hdi,0.94
AUS,2018,hdi,0.945
AUS,2019,hdi,0.947
AUS,2020,hdi,0.95
AUS,2021,hdi,0.954
AUS,2022,hdi,0.952
AUS,2023,hdi,0.958
BRA,2014,hdi,0.765
BRA,2015,hdi,0.764
BRA,2016,hdi,0.765
BRA,2017,hdi,0.77
BRA,2018,hdi,0.774
BRA,2019,hdi,0.776
BRA,2020,hdi,0.77
BRA,2021,hdi,0.768
BRA,2022,hdi,0.78
BRA,2023,hdi,0.786
CAF,2014,hdi,0.319
CAF,2015,hdi,0.377
CAF,2016,hdi,0.376
CAF,2017,hdi,0.356
CAF,2018,hdi,0.391
CAF,2019,hdi,0.279
CAF,2020,hdi,0.386
CAF,2021,hdi,0.339
CAF,2023,hdi,0.414
CAN,2014,hdi,0.932
CAN,2015,hdi,0.932
CAN,2016,hdi,0.933
CAN,2017,hdi,0.935
CAN,2018,hdi,0.935
CAN,2019,hdi,0.937
CAN,2020,hdi,0.931
CAN,2021,hdi,0.937
CAN,2022,hdi,0.935
CAN,2023,hdi,0.939
CHN,2014,hdi,0.742
CHN,2015,hdi,0.75
CHN,2016,hdi,0.758
CHN,2017,hdi,0.765
CHN,2018,hdi,0.774
CHN,2019,hdi,0.781
CHN,2020,hdi,0.786
CHN,2021,hdi,0.794
CHN,2022,hdi,0.796
CHN,2023,hdi,0.797
CMR,2014,hdi,0.566
CMR,2015,hdi,0.575
CMR,2016,hdi,0.579
CMR,2017,hdi,0.581
CMR,2018,hdi,0.582
CMR,2019,hdi,0.582
CMR,2020,hdi,0.579
CMR,2021,hdi,0.574
CMR,2022,hdi,0.581
CMR,2023,hdi,0.588
COD,2014,hdi,0.467
COD,2015,hdi,0.477
COD,2016,hdi,0.487
COD,2017,hdi,0.491
COD,2018,hdi,0.497
COD,2019,hdi,0.501
COD,2020,hdi,0.506
COD,2021,hdi,0.508
COD,2022,hdi,0.514
COD,2023,hdi,0.522
COG,2014,hdi,0.639
COG,2015,hdi,0.643
COG,2016,hdi,0.64
COG,2017,hdi,0.635
COG,2018,hdi,0.64
