country_code,year,indicator,value
ARG,2014,retreatment_nonrelapse_success_rate,37.0
ARG,2015,retreatment_nonrelapse_success_rate,38.0
ARG,2016,retreatment_nonrelapse_success_rate,45.0
ARG,2017,retreatment_nonrelapse_success_rate,48.0
ARG,2018,retreatment_nonrelapse_success_rate,41.0
ARG,2019,retreatment_nonrelapse_success_rate,48.0
ARG,2020,retreatment_nonrelapse_success_rate,47.0
ARG,2021,retreatment_nonrelapse_success_rate,50.0
ARG,2022,retreatment_nonrelapse_success_rate,39.0
AUS,2018,retreatment_nonrelapse_success_rate,82.0
AUS,2020,retreatment_nonrelapse_success_rate,100.0
BRA,2014,retreatment_nonrelapse_success_rate,39.0
BRA,2015,retreatment_nonrelapse_success_rate,38.0
BRA,2016,retreatment_nonrelapse_success_rate,39.0
BRA,2017,retreatment_nonrelapse_success_rate,39.0
BRA,2018,retreatment_nonrelapse_success_rate,38.0
BRA,2019,retreatment_nonrelapse_success_rate,38.0
BRA,2020,retreatment_nonrelapse_success_rate,35.0
BRA,2021,retreatment_nonrelapse_success_rate,34.0
BRA,2022,retreatment_nonrelapse_success_rate,35.0
CMR,2014,retreatment_nonrelapse_success_rate,65.0
CMR,2015,retreatment_nonrelapse_success_rate,73.0
CMR,2016,retreatment_nonrelapse_success_rate,70.0
CMR,2017,retreatment_nonrelapse_success_rate,74.0
CMR,2018,retreatment_nonrelapse_success_rate,70.0
CMR,2019,retreatment_nonrelapse_success_rate,79.0
CMR,2020,retreatment_nonrelapse_success_rate,78.0
CMR,2021,retreatment_nonrelapse_success_rate,79.0
CMR,2022,retreatment_nonrelapse_success_rate,80.0
CAF,2014,retreatment_nonrelapse_success_rate,64.0
CAF,2015,retreatment_nonrelapse_success_rate,84.0
CAF,2016,retreatment_nonrelapse_success_rate,79.0
CAF,2017,retreatment_nonrelapse_success_rate,73.0
CAF,2018,retreatment_nonrelapse_success_rate,64.0
CAF,2019,retreatment_nonrelapse_success_rate,69.0
CAF,2020,retreatment_nonrelapse_success_rate,85.0
CAF,2021,retreatment_nonrelapse_success_rate,83.0
CAF,2022,retreatment_nonrelapse_success_rate,75.0
TCD,2014,retreatment_nonrelapse_success_rate,49.0
TCD,2015,retreatment_nonrelapse_success_rate,49.0
TCD,2016,retreatment_nonrelapse_success_rate,50.0
TCD,2017,retreatment_nonrelapse_success_rate,57.0
TCD,2018,retreatment_nonrelapse_success_rate,65.0
TCD,2019,retreatment_nonrelapse_success_rate,65.0
TCD,2020,retreatment_nonrelapse_success_rate,65.0
TCD,2021,retreatment_nonrelapse_success_rate,68.0
TCD,2022,retreatment_nonrelapse_success_rate,74.0
CHN,2014,retreatment_nonrelapse_success_rate,88.0
CHN,2015,retreatment_nonrelapse_success_rate,83.0
