country_code,year,indicator,value
ARG,2014,gdp_per_capita_usd,12233.1444119186
AUS,2014,gdp_per_capita_usd,62544.0873773726
BRA,2014,gdp_per_capita_usd,12274.9939689363
CAF,2014,gdp_per_capita_usd,409.8504859647
CAN,2014,gdp_per_capita_usd,50960.8431174661
CHN,2014,gdp_per_capita_usd,7781.06597484974
CMR,2014,gdp_per_capita_usd,1649.4433905949
COD,2014,gdp_per_capita_usd,458.004541775676
COG,2014,gdp_per_capita_usd,3601.2365808718
DEU,2014,gdp_per_capita_usd,48971.0824722599
EUU,2014,gdp_per_capita_usd,35592.887487554
FRA,2014,gdp_per_capita_usd,43148.0459288416
GAB,2014,gdp_per_capita_usd,9201.36276648105
GBR,2014,gdp_per_capita_usd,47426.6209829995
GNQ,2014,gdp_per_capita_usd,15548.6624656619
IDN,2014,gdp_per_capita_usd,3441.06808464008
IND,2014,gdp_per_capita_usd,1553.88396075118
ITA,2014,gdp_per_capita_usd,36028.3494022349
JPN,2014,gdp_per_capita_usd,38475.3952461838
KOR,2014,gdp_per_capita_usd,29252.9312377352
MEX,2014,gdp_per_capita_usd,11391.3773510244
PAK,2014,gdp_per_capita_usd,1266.61340849959
PHL,2014,gdp_per_capita_usd,2866.83803761407
RUS,2014,gdp_per_capita_usd,14055.47265625
SAU,2014,gdp_per_capita_usd,27805.4850319422
TCD,2014,gdp_per_capita_usd,1278.78981422494
TUR,2014,gdp_per_capita_usd,12165.220135038
USA,2014,gdp_per_capita_usd,55153.3940182967
ZAF,2014,gdp_per_capita_usd,6856.73137092522
ARG,2015,gdp_per_capita_usd,13679.6264980954
AUS,2015,gdp_per_capita_usd,56739.0265346593
BRA,2015,gdp_per_capita_usd,8936.19661712113
CAF,2015,gdp_per_capita_usd,366.322853938121
CAN,2015,gdp_per_capita_usd,43594.1941045394
CHN,2015,gdp_per_capita_usd,8175.33285077393
CMR,2015,gdp_per_capita_usd,1415.00009710569
COD,2015,gdp_per_capita_usd,467.9145805459
COG,2015,gdp_per_capita_usd,2439.35189403696
DEU,2015,gdp_per_capita_usd,41911.0109851054
EUU,2015,gdp_per_capita_usd,30769.090644109
FRA,2015,gdp_per_capita_usd,36702.4323733379
GAB,2015,gdp_per_capita_usd,7047.12654634355
GBR,2015,gdp_per_capita_usd,44983.885522934
GNQ,2015,gdp_per_capita_usd,9068.91003238645
IDN,2015,gdp_per_capita_usd,3288.22269725538
IND,2015,gdp_per_capita_usd,1583.99815907985
ITA,2015,gdp_per_capita_usd,30639.8829751432
JPN,2015,gdp_per_capita_usd,34960.6393843385
KOR,2015,gdp_per_capita_usd,28737.4391706499
MEX,2015,gdp_per_capita_usd,10021.2386124039
PAK,2015,gdp_per_capita_usd,1380.47020838317
PHL,2015,gdp_per_capita_usd,2909.85818010301
RUS,2015,gdp_per_capita_usd,9277.7138671875
SAU,2015,gdp_per_capita_usd,23256.1549553531
TCD,2015,gdp_per_capita_usd,993.990730610869
TUR,2015,gdp_per_capita_usd,11049.9951100942
USA,2015,gdp_per_capita_usd,56849.4697923159
ZAF,2015,gdp_per_capita_usd,6112.27382485974
ARG,2016,gdp_per_capita_usd,12699.9623137756
AUS,2016,gdp_per_capita_usd,49888.0410842736
BRA,2016,gdp_per_capita_usd,8836.28652735657
CAF,2016,gdp_per_capita_usd,387.176203444318
CAN,2016,gdp_per_capita_usd,42314.0615817218
CHN,2016,gdp_per_capita_usd,8254.86859320357
CMR,2016,gdp_per_capita_usd,1441.7201725688
COD,2016,gdp_per_capita_usd,442.310472110228
COG,2016,gdp_per_capita_usd,2093.10728558843
DEU,2016,gdp_per_capita_usd,42961.0356905775
EUU,2016,gdp_per_capita_usd,31462.4341209885
FRA,2016,gdp_per_capita_usd,37024.2157133669
GAB,2016,gdp_per_capita_usd,6677.07003901644
GBR,2016,gdp_per_capita_usd,40988.1044233026
GNQ,2016,gdp_per_capita_usd,7453.19797948517
IDN,2016,gdp_per_capita_usd,3521.46943457574
IND,2016,gdp_per_capita_usd,1707.50892912243
ITA,2016,gdp_per_capita_usd,31391.5692898108
JPN,2016,gdp_per_capita_usd,39375.4731620781
