country_code,year,indicator,value
ARG,2014,worldbank_health_expenditure_usd,1274.66125488
AUS,2014,worldbank_health_expenditure_usd,6098.25439453
BRA,2014,worldbank_health_expenditure_usd,1030.66271973
CAF,2014,worldbank_health_expenditure_usd,18.7120266
CAN,2014,worldbank_health_expenditure_usd,5212.00878906
CHN,2014,worldbank_health_expenditure_usd,362.28695679
CMR,2014,worldbank_health_expenditure_usd,71.61038208
COD,2014,worldbank_health_expenditure_usd,18.22281265
COG,2014,worldbank_health_expenditure_usd,71.03118896
DEU,2014,worldbank_health_expenditure_usd,5309.15478516
EUU,2014,worldbank_health_expenditure_usd,3538.88887598493
FRA,2014,worldbank_health_expenditure_usd,4974.74658203
GAB,2014,worldbank_health_expenditure_usd,233.05368042
GBR,2014,worldbank_health_expenditure_usd,4716.30224609
GNQ,2014,worldbank_health_expenditure_usd,272.72619629
IDN,2014,worldbank_health_expenditure_usd,102.00482178
IND,2014,worldbank_health_expenditure_usd,56.3490181
ITA,2014,worldbank_health_expenditure_usd,3154.27587891
JPN,2014,worldbank_health_expenditure_usd,4121.21142578
KOR,2014,worldbank_health_expenditure_usd,1909.91503906
MEX,2014,worldbank_health_expenditure_usd,609.82232666
PAK,2014,worldbank_health_expenditure_usd,32.11787415
PHL,2014,worldbank_health_expenditure_usd,106.16293335
RUS,2014,worldbank_health_expenditure_usd,736.32177734
SAU,2014,worldbank_health_expenditure_usd,1363.59155273
TCD,2014,worldbank_health_expenditure_usd,42.16276169
TUR,2014,worldbank_health_expenditure_usd,520.40753174
USA,2014,worldbank_health_expenditure_usd,8796.18261719
ZAF,2014,worldbank_health_expenditure_usd,539.30780029
ARG,2015,worldbank_health_expenditure_usd,1517.33789063
AUS,2015,worldbank_health_expenditure_usd,5294.57226563
BRA,2015,worldbank_health_expenditure_usd,796.15252686
CAF,2015,worldbank_health_expenditure_usd,18.44194221
CAN,2015,worldbank_health_expenditure_usd,4660.79833984
CHN,2015,worldbank_health_expenditure_usd,393.09768677
CMR,2015,worldbank_health_expenditure_usd,58.38298035
COD,2015,worldbank_health_expenditure_usd,18.57252884
COG,2015,worldbank_health_expenditure_usd,57.30290604
DEU,2015,worldbank_health_expenditure_usd,4627.27587891
EUU,2015,worldbank_health_expenditure_usd,3046.10234295273
FRA,2015,worldbank_health_expenditure_usd,4198.72900391
GAB,2015,worldbank_health_expenditure_usd,187.27270508
GBR,2015,worldbank_health_expenditure_usd,4440.73828125
GNQ,2015,worldbank_health_expenditure_usd,212.26531982
IDN,2015,worldbank_health_expenditure_usd,96.15701294
IND,2015,worldbank_health_expenditure_usd,58.12401581
ITA,2015,worldbank_health_expenditure_usd,2675.67163086
JPN,2015,worldbank_health_expenditure_usd,3754.18115234
KOR,2015,worldbank_health_expenditure_usd,1933.61779785
MEX,2015,worldbank_health_expenditure_usd,553.91259766
PAK,2015,worldbank_health_expenditure_usd,33.99359894
PHL,2015,worldbank_health_expenditure_usd,113.4342804
RUS,2015,worldbank_health_expenditure_usd,496.9503479
SAU,2015,worldbank_health_expenditure_usd,1309.27148438
TCD,2015,worldbank_health_expenditure_usd,33.82092285
TUR,2015,worldbank_health_expenditure_usd,444.70803833
USA,2015,worldbank_health_expenditure_usd,9200.85839844
ZAF,2015,worldbank_health_expenditure_usd,491.90652466
ARG,2016,worldbank_health_expenditure_usd,1251.65612793
AUS,2016,worldbank_health_expenditure_usd,5423.82666016
BRA,2016,worldbank_health_expenditure_usd,810.20037842
CAF,2016,worldbank_health_expenditure_usd,21.07796097
CAN,2016,worldbank_health_expenditure_usd,4649.12109375
CHN,2016,worldbank_health_expenditure_usd,398.17489624
CMR,2016,worldbank_health_expenditure_usd,57.99372482
COD,2016,worldbank_health_expenditure_usd,19.3114109
COG,2016,worldbank_health_expenditure_usd,54.3000145
DEU,2016,worldbank_health_expenditure_usd,4746.77539063
EUU,2016,worldbank_health_expenditure_usd,3110.08791328845
FRA,2016,worldbank_health_expenditure_usd,4264.14599609
GAB,2016,worldbank_health_expenditure_usd,207.50273132
