country_code,year,indicator,value
ARG,2014,population,43024071
AUS,2014,population,23475686
BRA,2014,population,200085127
CAF,2014,population,4623182
CAN,2014,population,35434066
CHN,2014,population,1371860000
CMR,2014,population,22059893
COD,2014,population,78403242
COG,2014,population,4975880
DEU,2014,population,80982500
EUU,2014,population,442920819
FRA,2014,population,66312067
GAB,2014,population,1978399
GBR,2014,population,64620000
GNQ,2014,population,1399828
IDN,2014,population,258877399
IND,2014,population,1312277191
ITA,2014,population,60320707
JPN,2014,population,127276000
KOR,2014,population,50746659
MEX,2014,population,119784261
PAK,2014,population,214264647
PHL,2014,population,103767130
RUS,2014,population,144237223
SAU,2014,population,28309273
TCD,2014,population,14188678
TUR,2014,population,77181884
USA,2014,population,319257560
ZAF,2014,population,55594838
ARG,2015,population,43477012
AUS,2015,population,23815995
BRA,2015,population,201675532
CAF,2015,population,4629320
CAN,2015,population,35704498
CHN,2015,population,1379860000
CMR,2015,population,22763414
COD,2015,population,81035531
COG,2015,population,5097581
DEU,2015,population,81686611
EUU,2015,population,443793218
FRA,2015,population,66548272
GAB,2015,population,2040989
GBR,2015,population,65088000
GNQ,2015,population,1453923
IDN,2015,population,261799249
IND,2015,population,1328024498
ITA,2015,population,60229605
JPN,2015,population,127141000
KOR,2015,population,51014947
MEX,2015,population,121072306
PAK,2015,population,217290883
PHL,2015,population,105312992
RUS,2015,population,144640716
SAU,2015,population,29816382
TCD,2015,population,14647621
TUR,2015,population,78218479
USA,2015,population,321815121
ZAF,2015,population,56723537
ARG,2016,population,43900313
AUS,2016,population,24190907
BRA,2016,population,203218114
CAF,2016,population,4713663
CAN,2016,population,36110803
CHN,2016,population,1387790000
CMR,2016,population,23454161
COD,2016,population,83956415
COG,2016,population,5222536
DEU,2016,population,82348669
EUU,2016,population,444676652
FRA,2016,population,66724104
GAB,2016,population,2100306
GBR,2016,population,65607000
GNQ,2016,population,1508186
IDN,2016,population,264627418
IND,2016,population,1343944296
ITA,2016,population,60115223
JPN,2016,population,127076000
KOR,2016,population,51217803
MEX,2016,population,122251351
PAK,2016,population,220138869
PHL,2016,population,106735719
RUS,2016,population,145015460
SAU,2016,population,30954198
TCD,2016,population,15114655
