country_code,year,indicator,value
ARG,2014,tb_incidence_per_hundred_thousand,25.0
AUS,2014,tb_incidence_per_hundred_thousand,6.5
BRA,2014,tb_incidence_per_hundred_thousand,43.0
CAF,2014,tb_incidence_per_hundred_thousand,540.0
CAN,2014,tb_incidence_per_hundred_thousand,5.1
CHN,2014,tb_incidence_per_hundred_thousand,67.0
CMR,2014,tb_incidence_per_hundred_thousand,220.0
COD,2014,tb_incidence_per_hundred_thousand,325.0
COG,2014,tb_incidence_per_hundred_thousand,381.0
DEU,2014,tb_incidence_per_hundred_thousand,5.9
EUU,2014,tb_incidence_per_hundred_thousand,
FRA,2014,tb_incidence_per_hundred_thousand,8.5
GAB,2014,tb_incidence_per_hundred_thousand,541.0
GBR,2014,tb_incidence_per_hundred_thousand,11.0
GNQ,2014,tb_incidence_per_hundred_thousand,260.0
IDN,2014,tb_incidence_per_hundred_thousand,329.0
IND,2014,tb_incidence_per_hundred_thousand,243.0
ITA,2014,tb_incidence_per_hundred_thousand,6.3
JPN,2014,tb_incidence_per_hundred_thousand,18.0
KOR,2014,tb_incidence_per_hundred_thousand,85.0
MEX,2014,tb_incidence_per_hundred_thousand,22.0
PAK,2014,tb_incidence_per_hundred_thousand,270.0
PHL,2014,tb_incidence_per_hundred_thousand,546.0
RUS,2014,tb_incidence_per_hundred_thousand,70.0
SAU,2014,tb_incidence_per_hundred_thousand,12.0
TCD,2014,tb_incidence_per_hundred_thousand,145.0
TUR,2014,tb_incidence_per_hundred_thousand,20.0
USA,2014,tb_incidence_per_hundred_thousand,3.2
ZAF,2014,tb_incidence_per_hundred_thousand,1070.0
ARG,2015,tb_incidence_per_hundred_thousand,26.0
AUS,2015,tb_incidence_per_hundred_thousand,6.0
BRA,2015,tb_incidence_per_hundred_thousand,43.0
CAF,2015,tb_incidence_per_hundred_thousand,540.0
CAN,2015,tb_incidence_per_hundred_thousand,5.2
CHN,2015,tb_incidence_per_hundred_thousand,65.0
CMR,2015,tb_incidence_per_hundred_thousand,212.0
COD,2015,tb_incidence_per_hundred_thousand,324.0
COG,2015,tb_incidence_per_hundred_thousand,379.0
DEU,2015,tb_incidence_per_hundred_thousand,7.6
EUU,2015,tb_incidence_per_hundred_thousand,
FRA,2015,tb_incidence_per_hundred_thousand,8.4
GAB,2015,tb_incidence_per_hundred_thousand,537.0
GBR,2015,tb_incidence_per_hundred_thousand,10.0
GNQ,2015,tb_incidence_per_hundred_thousand,274.0
IDN,2015,tb_incidence_per_hundred_thousand,325.0
IND,2015,tb_incidence_per_hundred_thousand,237.0
ITA,2015,tb_incidence_per_hundred_thousand,6.6
JPN,2015,tb_incidence_per_hundred_thousand,17.0
KOR,2015,tb_incidence_per_hundred_thousand,79.0
MEX,2015,tb_incidence_per_hundred_thousand,22.0
PAK,2015,tb_incidence_per_hundred_thousand,270.0
PHL,2015,tb_incidence_per_hundred_thousand,550.0
RUS,2015,tb_incidence_per_hundred_thousand,67.0
SAU,2015,tb_incidence_per_hundred_thousand,12.0
TCD,2015,tb_incidence_per_hundred_thousand,144.0
TUR,2015,tb_incidence_per_hundred_thousand,18.0
USA,2015,tb_incidence_per_hundred_thousand,3.2
ZAF,2015,tb_incidence_per_hundred_thousand,988.0
ARG,2016,tb_incidence_per_hundred_thousand,27.0
AUS,2016,tb_incidence_per_hundred_thousand,6.5
BRA,2016,tb_incidence_per_hundred_thousand,43.0
CAF,2016,tb_incidence_per_hundred_thousand,540.0
CAN,2016,tb_incidence_per_hundred_thousand,5.5
CHN,2016,tb_incidence_per_hundred_thousand,63.0
CMR,2016,tb_incidence_per_hundred_thousand,203.0
COD,2016,tb_incidence_per_hundred_thousand,323.0
COG,2016,tb_incidence_per_hundred_thousand,378.0
DEU,2016,tb_incidence_per_hundred_thousand,7.6
EUU,2016,tb_incidence_per_hundred_thousand,
FRA,2016,tb_incidence_per_hundred_thousand,8.7
GAB,2016,tb_incidence_per_hundred_thousand,533.0
GBR,2016,tb_incidence_per_hundred_thousand,9.9
GNQ,2016,tb_incidence_per_hundred_thousand,294.0
IDN,2016,tb_incidence_per_hundred_thousand,322.0
IND,2016,tb_incidence_per_hundred_thousand,225.0
ITA,2016,tb_incidence_per_hundred_thousand,7.2
JPN,2016,tb_incidence_per_hundred_thousand,16.0
KOR,2016,tb_incidence_per_hundred_thousand,76.0
MEX,2016,tb_incidence_per_hundred_thousand,22.0
PAK,2016,tb_incidence_per_hundred_thousand,268.0
PHL,2016,tb_incidence_per_hundred_thousand,554.0
RUS,2016,tb_incidence_per_hundred_thousand,63.0
SAU,2016,tb_incidence_per_hundred_thousand,10.0
TCD,2016,tb_incidence_per_hundred_thousand,144.0
TUR,2016,tb_incidence_per_hundred_thousand,18.0
USA,2016,tb_incidence_per_hundred_thousand,3.1
ZAF,2016,tb_incidence_per_hundred_thousand,805.0
ARG,2017,tb_incidence_per_hundred_thousand,27.0
AUS,2017,tb_incidence_per_hundred_thousand,6.7
BRA,2017,tb_incidence_per_hundred_thousand,44.0
CAF,2017,tb_incidence_per_hundred_thousand,540.0
CAN,2017,tb_incidence_per_hundred_thousand,5.6
CHN,2017,tb_incidence_per_hundred_thousand,62.0
CMR,2017,tb_incidence_per_hundred_thousand,194.0
COD,2017,tb_incidence_per_hundred_thousand,322.0
COG,2017,tb_incidence_per_hundred_thousand,376.0
DEU,2017,tb_incidence_per_hundred_thousand,7.1
EUU,2017,tb_incidence_per_hundred_thousand,
FRA,2017,tb_incidence_per_hundred_thousand,9.0
GAB,2017,tb_incidence_per_hundred_thousand,529.0
GBR,2017,tb_incidence_per_hundred_thousand,8.9
GNQ,2017,tb_incidence_per_hundred_thousand,286.0
IDN,2017,tb_incidence_per_hundred_thousand,319.0
IND,2017,tb_incidence_per_hundred_thousand,217.0
ITA,2017,tb_incidence_per_hundred_thousand,7.3
JPN,2017,tb_incidence_per_hundred_thousand,15.0
KOR,2017,tb_incidence_per_hundred_thousand,70.0
MEX,2017,tb_incidence_per_hundred_thousand,23.0
PAK,2017,tb_incidence_per_hundred_thousand,267.0
PHL,2017,tb_incidence_per_hundred_thousand,554.0
RUS,2017,tb_incidence_per_hundred_thousand,59.0
SAU,2017,tb_incidence_per_hundred_thousand,10.0
TCD,2017,tb_incidence_per_hundred_thousand,143.0
TUR,2017,tb_incidence_per_hundred_thousand,17.0
USA,2017,tb_incidence_per_hundred_thousand,3.0
ZAF,2017,tb_incidence_per_hundred_thousand,738.0
ARG,2018,tb_incidence_per_hundred_thousand,27.0
AUS,2018,tb_incidence_per_hundred_thousand,6.6
BRA,2018,tb_incidence_per_hundred_thousand,46.0
CAF,2018,tb_incidence_per_hundred_thousand,540.0
CAN,2018,tb_incidence_per_hundred_thousand,5.5
CHN,2018,tb_incidence_per_hundred_thousand,61.0
CMR,2018,tb_incidence_per_hundred_thousand,186.0
COD,2018,tb_incidence_per_hundred_thousand,321.0
COG,2018,tb_incidence_per_hundred_thousand,375.0
DEU,2018,tb_incidence_per_hundred_thousand,6.9
EUU,2018,tb_incidence_per_hundred_thousand,
FRA,2018,tb_incidence_per_hundred_thousand,8.8
GAB,2018,tb_incidence_per_hundred_thousand,525.0
GBR,2018,tb_incidence_per_hundred_thousand,8.0
GNQ,2018,tb_incidence_per_hundred_thousand,254.0
IDN,2018,tb_incidence_per_hundred_thousand,316.0
IND,2018,tb_incidence_per_hundred_thousand,208.0
ITA,2018,tb_incidence_per_hundred_thousand,7.2
JPN,2018,tb_incidence_per_hundred_thousand,14.0
